indic,s_adj,unit,geo,time,values
BS-RAS,NSA,BAL,AT,2018-08-01,22.5
BS-RAS,NSA,BAL,BE,2018-08-01,15
BS-RAS,NSA,BAL,BG,2018-08-01,1.7
BS-RAS,NSA,BAL,CY,2018-08-01,2
BS-RAS,NSA,BAL,CZ,2018-08-01,6
BS-RAS,NSA,BAL,DE,2018-08-01,23.6
BS-RAS,NSA,BAL,DK,2018-08-01,10.2
BS-RAS,NSA,BAL,EA19,2018-08-01,15.3
BS-RAS,NSA,BAL,EE,2018-08-01,4.4
BS-RAS,NSA,BAL,EL,2018-08-01,10.2
BS-RAS,NSA,BAL,ES,2018-08-01,8.7
BS-RAS,NSA,BAL,EU28,2018-08-01,13.6
BS-RAS,NSA,BAL,FI,2018-08-01,4
BS-RAS,NSA,BAL,FR,2018-08-01,12.5
BS-RAS,NSA,BAL,HR,2018-08-01,2.7
BS-RAS,NSA,BAL,HU,2018-08-01,0.3
BS-RAS,NSA,BAL,IT,2018-08-01,14.1
BS-RAS,NSA,BAL,LT,2018-08-01,3.5
BS-RAS,NSA,BAL,LV,2018-08-01,0.5
BS-RAS,NSA,BAL,ME,2018-08-01,4.8
BS-RAS,NSA,BAL,MK,2018-08-01,6.4
BS-RAS,NSA,BAL,MT,2018-08-01,5.6
BS-RAS,NSA,BAL,NL,2018-08-01,11.8
BS-RAS,NSA,BAL,PL,2018-08-01,7.7
BS-RAS,NSA,BAL,PT,2018-08-01,3.4
BS-RAS,NSA,BAL,RO,2018-08-01,1.6
BS-RAS,NSA,BAL,RS,2018-08-01,9.2
BS-RAS,NSA,BAL,SE,2018-08-01,20
BS-RAS,NSA,BAL,SI,2018-08-01,7.8
BS-RAS,NSA,BAL,SK,2018-08-01,5
BS-RAS,NSA,BAL,TR,2018-08-01,-4.3
BS-RAS,NSA,BAL,UK,2018-08-01,9.6
BS-RAS,SA,BAL,AT,2018-08-01,25.1
BS-RAS,SA,BAL,BE,2018-08-01,14.9
BS-RAS,SA,BAL,BG,2018-08-01,0.7
BS-RAS,SA,BAL,CY,2018-08-01,-2.7
BS-RAS,SA,BAL,CZ,2018-08-01,6
BS-RAS,SA,BAL,DE,2018-08-01,24.2
BS-RAS,SA,BAL,DK,2018-08-01,13.1
BS-RAS,SA,BAL,EA19,2018-08-01,15.4
BS-RAS,SA,BAL,EE,2018-08-01,9.2
BS-RAS,SA,BAL,EL,2018-08-01,7.8
BS-RAS,SA,BAL,ES,2018-08-01,8.3
BS-RAS,SA,BAL,EU28,2018-08-01,14.1
BS-RAS,SA,BAL,FI,2018-08-01,9.4
BS-RAS,SA,BAL,FR,2018-08-01,14.1
BS-RAS,SA,BAL,HR,2018-08-01,5.3
BS-RAS,SA,BAL,HU,2018-08-01,-0.3
BS-RAS,SA,BAL,IT,2018-08-01,11.2
BS-RAS,SA,BAL,LT,2018-08-01,3.5
BS-RAS,SA,BAL,LV,2018-08-01,1.3
BS-RAS,SA,BAL,ME,2018-08-01,6.3
BS-RAS,SA,BAL,MK,2018-08-01,6.8
BS-RAS,SA,BAL,MT,2018-08-01,7
BS-RAS,SA,BAL,NL,2018-08-01,11.5
BS-RAS,SA,BAL,PL,2018-08-01,7.8
BS-RAS,SA,BAL,PT,2018-08-01,4.4
BS-RAS,SA,BAL,RO,2018-08-01,-1.5
BS-RAS,SA,BAL,RS,2018-08-01,8.7
BS-RAS,SA,BAL,SE,2018-08-01,24.9
BS-RAS,SA,BAL,SI,2018-08-01,6.6
BS-RAS,SA,BAL,SK,2018-08-01,5.2
BS-RAS,SA,BAL,TR,2018-08-01,-4.5
BS-RAS,SA,BAL,UK,2018-08-01,11.5
BS-RCI,NSA,BAL,AT,2018-08-01,-10.5
BS-RCI,NSA,BAL,BE,2018-08-01,-8.2
BS-RCI,NSA,BAL,BG,2018-08-01,17.2
BS-RCI,NSA,BAL,CY,2018-08-01,5.5
BS-RCI,NSA,BAL,CZ,2018-08-01,17.9
BS-RCI,NSA,BAL,DE,2018-08-01,-5
BS-RCI,NSA,BAL,DK,2018-08-01,4.7
BS-RCI,NSA,BAL,EA19,2018-08-01,1.1
BS-RCI,NSA,BAL,EE,2018-08-01,12.1
BS-RCI,NSA,BAL,EL,2018-08-01,16.6
BS-RCI,NSA,BAL,ES,2018-08-01,11.6
BS-RCI,NSA,BAL,EU28,2018-08-01,5.8
BS-RCI,NSA,BAL,FI,2018-08-01,14.7
BS-RCI,NSA,BAL,FR,2018-08-01,-0.8
BS-RCI,NSA,BAL,HR,2018-08-01,12.8
BS-RCI,NSA,BAL,HU,2018-08-01,11.5
BS-RCI,NSA,BAL,IT,2018-08-01,4
BS-RCI,NSA,BAL,LT,2018-08-01,10.9
BS-RCI,NSA,BAL,LV,2018-08-01,9.4
BS-RCI,NSA,BAL,ME,2018-08-01,27
BS-RCI,NSA,BAL,MK,2018-08-01,6.6
BS-RCI,NSA,BAL,MT,2018-08-01,14.8
BS-RCI,NSA,BAL,NL,2018-08-01,6.5
BS-RCI,NSA,BAL,PL,2018-08-01,4.8
BS-RCI,NSA,BAL,PT,2018-08-01,2.6
BS-RCI,NSA,BAL,RO,2018-08-01,11.5
BS-RCI,NSA,BAL,RS,2018-08-01,15.5
BS-RCI,NSA,BAL,SE,2018-08-01,16.3
BS-RCI,NSA,BAL,SI,2018-08-01,4.5
BS-RCI,NSA,BAL,SK,2018-08-01,21.3
BS-RCI,NSA,BAL,TR,2018-08-01,-3
BS-RCI,NSA,BAL,UK,2018-08-01,21.5
BS-RCI,SA,BAL,AT,2018-08-01,-12.6
