Date,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,year,month,day,dayYear,week_num,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,PromoInterval
2013-01-01,39,2,2013-01-01,0,0,0,0,a,1,2013,1,1,1,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-01-01,680,2,2013-01-01,0,0,0,0,a,1,2013,1,1,1,0,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-01-01,1064,2,2013-01-01,0,0,0,0,a,1,2013,1,1,1,0,a,c,420,,,
2013-02-01,39,3,2013-02-01,4144,608,1,0,0,1,2013,1,2,2,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-02-01,680,3,2013-02-01,5459,957,1,0,0,1,2013,1,2,2,0,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-02-01,1064,3,2013-02-01,8964,1121,1,0,0,1,2013,1,2,2,0,a,c,420,,,
2013-03-01,39,4,2013-03-01,3527,525,1,0,0,1,2013,1,3,3,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-03-01,680,4,2013-03-01,4793,844,1,0,0,1,2013,1,3,3,0,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-03-01,1064,4,2013-03-01,7474,928,1,0,0,1,2013,1,3,3,0,a,c,420,,,
2013-04-01,39,5,2013-04-01,3604,536,1,0,0,1,2013,1,4,4,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-04-01,680,5,2013-04-01,5298,872,1,0,0,1,2013,1,4,4,0,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-04-01,1064,5,2013-04-01,7673,954,1,0,0,1,2013,1,4,4,0,a,c,420,,,
2013-05-01,39,6,2013-05-01,2435,394,1,0,0,0,2013,1,5,5,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-05-01,680,6,2013-05-01,6163,974,1,0,0,0,2013,1,5,5,0,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-05-01,1064,6,2013-05-01,7335,952,1,0,0,0,2013,1,5,5,0,a,c,420,,,
2013-06-01,39,7,2013-06-01,0,0,0,0,0,0,2013,1,6,6,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-06-01,680,7,2013-06-01,0,0,0,0,0,0,2013,1,6,6,1,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-06-01,1064,7,2013-06-01,0,0,0,0,0,0,2013,1,6,6,1,a,c,420,,,
2013-07-01,39,1,2013-07-01,9136,1046,1,1,0,0,2013,1,7,7,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-07-01,680,1,2013-07-01,5827,878,1,1,0,0,2013,1,7,7,1,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-07-01,1064,1,2013-07-01,12690,1375,1,1,0,0,2013,1,7,7,1,a,c,420,,,
2013-08-01,39,2,2013-08-01,5510,706,1,1,0,0,2013,1,8,8,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-08-01,680,2,2013-08-01,5510,813,1,1,0,0,2013,1,8,8,1,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-08-01,1064,2,2013-08-01,11137,1273,1,1,0,0,2013,1,8,8,1,a,c,420,,,
2013-09-01,39,3,2013-09-01,4154,587,1,1,0,0,2013,1,9,9,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-09-01,680,3,2013-09-01,5358,764,1,1,0,0,2013,1,9,9,1,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-09-01,1064,3,2013-09-01,8456,904,1,1,0,0,2013,1,9,9,1,a,c,420,,,
2013-10-01,39,4,2013-10-01,5120,705,1,1,0,0,2013,1,10,10,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-10-01,680,4,2013-10-01,4716,747,1,1,0,0,2013,1,10,10,1,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-10-01,1064,4,2013-10-01,10011,1166,1,1,0,0,2013,1,10,10,1,a,c,420,,,
2013-11-01,39,5,2013-11-01,4766,662,1,1,0,0,2013,1,11,11,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
2013-11-01,680,5,2013-11-01,4669,803,1,1,0,0,2013,1,11,11,1,c,a,170,,,"Mar,Jun,Sept,Dec"
2013-11-01,1064,5,2013-11-01,9485,1200,1,1,0,0,2013,1,11,11,1,a,c,420,,,
2013-12-01,39,6,2013-12-01,2398,396,1,0,0,0,2013,1,12,12,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
